,station_name,latitude,longitude
89,DOVER MRT STATION,1.31141543344877,103.778304715288
90,DOVER MRT STATION,1.31169319167964,103.778464771304
91,BOON LAY MRT STATION,1.33862950779597,103.705650038035
92,BOON LAY MRT STATION,1.3385141209312,103.7053533532
93,BOON LAY MRT STATION,1.33827322197702,103.705795031365
94,BUKIT BATOK MRT STATION,1.34938958776808,103.749936955579
95,JOO KOON MRT STATION,1.32750208445865,103.678520709011
96,JOO KOON MRT STATION,1.32795611143786,103.678644077077
97,CHOA CHU KANG MRT STATION,1.38570539067001,103.744223583926
98,KRANJI MRT STATION,1.42512495935501,103.762496770529
99,MARSILING MRT STATION,1.43275137172006,103.774410520697
100,MARSILING MRT STATION,1.43275136098458,103.773997133375
101,HARBOURFRONT MRT STATION,1.26497195959122,103.8215802917
102,HARBOURFRONT MRT STATION,1.26597925499591,103.821398857154
103,HARBOURFRONT MRT STATION,1.26601318319783,103.820468350461
104,CHINATOWN MRT STATION,1.28371277043019,103.8437978881
105,CLARKE QUAY MRT STATION,1.28780575265584,103.845903432736
106,CLARKE QUAY MRT STATION,1.28919925781809,103.846593909165
107,LITTLE INDIA MRT STATION,1.30560525103922,103.84936002946
108,SAM KEE LRT STATION,1.40982767244172,103.904792279936
109,DAMAI LRT STATION,1.40504602830874,103.908613856028
110,OASIS LRT STATION,1.4021037193748,103.912754573795
111,KADALOOR LRT STATION,1.39941146718039,103.916517130328
112,RIVIERA LRT STATION,1.39455906596969,103.915935470521
113,RIVIERA LRT STATION,1.3943256111184,103.916263098527
114,CORAL EDGE LRT STATION,1.39397080711083,103.912708744367
115,CORAL EDGE LRT STATION,1.39368465222162,103.91265223397
116,COVE LRT STATION,1.39930265660882,103.9061760136
117,HARBOURFRONT MRT STATION,1.26508503461184,103.822509807219
118,MACPHERSON MRT STATION,1.3266787588073,103.889793336526
119,MACPHERSON MRT STATION,1.32585503018196,103.890665675221
120,MACPHERSON MRT STATION,1.32548152990651,103.890262565574
121,TONGKANG LRT STATION,1.38937900794855,103.886084357383
122,TONGKANG LRT STATION,1.38918016099808,103.885962114119
123,RENJONG LRT STATION,1.38669795588852,103.890409161732
124,RENJONG LRT STATION,1.38681414421555,103.890438192124
125,RANGGUNG LRT STATION,1.3841763860699,103.897321723817
126,RANGGUNG LRT STATION,1.38410488340512,103.897223938055
127,KANGKAR LRT STATION,1.38407450287348,103.902147558141
128,KANGKAR LRT STATION,1.38376520316725,103.902276368029
129,BAKAU LRT STATION,1.38818538545215,103.905445630714
130,BAKAU LRT STATION,1.387840799257,103.905482124043
131,RUMBIA LRT STATION,1.39134048641742,103.906018791652
132,RUMBIA LRT STATION,1.39141424178713,103.906105819366
133,ONE-NORTH MRT STATION,1.29902749872281,103.786907466321
134,KENT RIDGE MRT STATION,1.29242811590855,103.784809631882
135,KENT RIDGE MRT STATION,1.29431588700949,103.784465895365
136,HAW PAR VILLA MRT STATION,1.28305527354176,103.782006397072
137,PASIR PANJANG MRT STATION,1.27600323278505,103.79203018692
138,LABRADOR PARK MRT STATION,1.27210695805434,103.802355553663
139,TELOK BLANGAH MRT STATION,1.2707212262114,103.80988373092
140,TAN KAH KEE MRT STATION,1.32533306908018,103.807799119073
141,CASHEW MRT STATION,1.36983331859629,103.764234480711
142,SIXTH AVENUE MRT STATION,1.33078046994618,103.796566082121
143,KING ALBERT PARK MRT STATION,1.33553707766976,103.783030260215
144,HILLVIEW MRT STATION,1.36208433991773,103.767108459936
145,BUKIT PANJANG MRT STATION,1.37900796974076,103.761922934209
146,ROCHOR MRT STATION,1.30340410653552,103.852375021633
147,DOWNTOWN MRT STATION,1.27979623969206,103.852427746441
148,TELOK AYER MRT STATION,1.28188738923558,103.848506543896
149,PIONEER MRT STATION,1.33734462692044,103.697155373411
150,PIONEER MRT STATION,1.33783162800548,103.697129452876
